spp_gp,name,rank,id,error,db
chelonia mydas,Animalia,kingdom,2,FALSE,worms
chelonia mydas,Chordata,phylum,1821,FALSE,worms
chelonia mydas,Vertebrata,subphylum,146419,FALSE,worms
chelonia mydas,Gnathostomata,infraphylum,1828,FALSE,worms
chelonia mydas,Tetrapoda,megaclass,1831,FALSE,worms
chelonia mydas,Reptilia,superclass,1838,FALSE,worms
chelonia mydas,Testudines,order,2689,FALSE,worms
chelonia mydas,Cryptodira,suborder,148741,FALSE,worms
chelonia mydas,Chelonioidea,superfamily,987094,FALSE,worms
chelonia mydas,Cheloniidae,family,136999,FALSE,worms
chelonia mydas,Chelonia,genus,137067,FALSE,worms
chelonia mydas,Chelonia mydas,species,137206,FALSE,worms
